Title,Author,Published Year,ISBN,Age Range,Book Format,Current Price,Image
Ingrid och Bassiluskan,Katerina Janouch,2013,9789163875281,0-3,"inbunden, ",61 kr,https://s2.adlibris.com/images/5360/ingrid-och-bassiluskan.jpg
Lotta på Bråkmakargatan,Astrid Lindgren,2013,9789129689006,3-6,"kartonnage, ",111 kr,https://s1.adlibris.com/images/1168/lotta-pa-brakmakargatan.jpg
Äskil äter träd,Åsa Lind,2015,9789129691924,3-6,"inbunden, ",114 kr,https://s1.adlibris.com/images/14563008/askil-ater-trad.jpg
Lycklige Alfons Åberg,Gunilla Bergström,2012,9789129685237,3-6,"kartonnage, ",59 kr,https://s2.adlibris.com/images/138920/lycklige-alfons-aberg.jpg
Alfons Åberg - Kompisboken : fyra utvalda berättelser,Gunilla Bergström,2016,9789129699166,3-6,"inbunden, ",149 kr,https://s1.adlibris.com/images/24919467/alfons-aberg---kompisboken-fyra-utvalda-berattelser.jpg
Kvastresan,Julia Donaldson,2017,9789150119572,3-6,"inbunden, ",61 kr,https://s2.adlibris.com/images/28682147/kvastresan.jpg
"Sagasagor: Studsmatta, simskola och en borttappad tigertass",Josefine Sundström,2016,9789163885792,3-6,"inbunden, ",126 kr,https://s2.adlibris.com/images/24986198/sagasagor-studsmatta-simskola-och-en-borttappad-tigertass.jpg
Bus och Frö på varsin ö,Maria Nilsson Thore,2014,9789163878411,3-6,"inbunden, ",61 kr,https://s1.adlibris.com/images/11427612/bus-och-fro-pa-varsin-o.jpg
Sagor om natten,Kitty Crowther,2017,9789188279538,3-6,"inbunden, ",114 kr,https://s2.adlibris.com/images/29372098/sagor-om-natten.jpg
Krakel Spektakel köper en klubba,Lennart Hellsing,1984,9789129474572,3-6,"kartonnage, ",61 kr,https://s2.adlibris.com/images/115170/krakel-spektakel-koper-en-klubba.jpg
Alla tre ute på förskolan Ärtan,Maria Nilsson Thore,2017,9789163893841,0-3,"inbunden, ",96 kr,https://s1.adlibris.com/images/27836180/alla-tre-ute-pa-forskolan-artan.jpg
Bockarna Bruse på badhuset,Bjørn Rørvik,2012,9789187027147,3-6,"inbunden, ",111 kr,https://s2.adlibris.com/images/3580/bockarna-bruse-pa-badhuset.jpg
Mera fart Mamma Mu,Jujja Wieslander,2017,9789129705324,-,"Ljudbok, ",76 kr,https://s2.adlibris.com/images/29553495/mera-fart-mamma-mu.jpg
Stranden om natten,Elena Ferrante,2017,9789129703894,3-6,"inbunden, ",114 kr,https://s1.adlibris.com/images/29311842/stranden-om-natten.jpg
Stackars Pettson,Sven Nordqvist,1991,9789172704763,3-6,"inbunden, ",85 kr,https://s2.adlibris.com/images/3190/stackars-pettson.jpg
Super-Charlie och mormorsmysteriet,Camilla Läckberg,2015,9789176172520,3-6,"inbunden, ",57 kr,https://s1.adlibris.com/images/16632141/super-charlie-och-mormorsmysteriet.jpg
Super-Charlie & monsterbacillerna Litet format,Camilla Läckberg,2016,9789176175880,3-6,"inbunden, ",57 kr,https://s1.adlibris.com/images/24827968/super-charlie-monsterbacillerna-litet-format.jpg
Känner du Pettson och Findus?,Sven Nordqvist,2014,9789172996564,0-3,"board book, ",84 kr,https://s2.adlibris.com/images/3554/kanner-du-pettson-och-findus.jpg
